longitude,latitude,wind_direction_10m_dominant
83.125,7.0,311
83.375,7.0,296
83.625,7.0,295
83.875,7.0,290
84.125,7.0,300
84.375,7.0,315
84.625,7.0,307
84.875,7.0,293
85.125,7.0,294
85.375,7.0,288
85.625,7.0,292
85.875,7.0,313
86.125,7.0,304
86.375,7.0,290
86.625,7.0,292
86.875,7.0,288
87.125,7.0,290
87.375,7.0,313
87.625,7.0,303
87.875,7.0,289
88.125,7.0,291
88.375,7.0,287
88.625,7.0,288
79.875,7.125,313
81.5,7.125,302
68.875,7.25,286
69.125,7.25,288
69.375,7.25,286
69.625,7.25,289
69.875,7.25,311
70.125,7.25,301
70.375,7.25,284
70.625,7.25,286
70.875,7.25,286
71.125,7.25,294
71.375,7.25,311
71.625,7.25,300
71.875,7.25,283
72.125,7.25,285
72.375,7.25,285
72.625,7.25,298
72.875,7.25,310
73.125,7.25,297
73.375,7.25,281
73.625,7.25,283
73.875,7.25,284
74.125,7.25,302
74.375,7.25,310
74.625,7.25,296
74.875,7.25,279
75.125,7.25,281
75.375,7.25,284
75.625,7.25,305
75.875,7.25,312
76.125,7.25,300
76.375,7.25,277
76.625,7.25,279
76.875,7.25,283
77.125,7.25,309
77.375,7.25,312
77.625,7.25,303
77.875,7.25,277
78.125,7.25,278
78.375,7.25,282
78.625,7.25,314
78.875,7.25,311
79.125,7.25,306
79.375,7.25,276
79.625,7.25,275
80.125,7.25,282
80.625,7.25,315
81.625,7.25,313
82.125,7.25,311
82.375,7.25,278
82.625,7.25,273
82.875,7.25,280
83.125,7.25,318
83.375,7.25,314
83.625,7.25,313
83.875,7.25,278
84.125,7.25,272
84.375,7.25,280
84.625,7.25,321
84.875,7.25,314
85.125,7.25,313
85.375,7.25,279
85.625,7.25,271
85.875,7.25,279
86.125,7.25,326
86.375,7.25,313
86.625,7.25,311
86.875,7.25,279
87.125,7.25,269
87.375,7.25,278
87.625,7.25,328
87.875,7.25,312
88.125,7.25,312
88.375,7.25,279
88.625,7.25,269
79.875,7.375,278
80.0,7.375,330
80.25,7.375,313
80.875,7.375,319
81.0,7.375,278
81.75,7.375,268
68.875,7.5,276
69.125,7.5,326
69.375,7.5,311
69.625,7.5,318
69.875,7.5,279
70.125,7.5,266
70.375,7.5,275
70.625,7.5,324
70.875,7.5,310
71.125,7.5,317
71.375,7.5,279
71.625,7.5,265
71.875,7.5,275
72.125,7.5,321
72.375,7.5,309
72.625,7.5,318
72.875,7.5,280
73.125,7.5,264
73.375,7.5,274
73.625,7.5,318
73.875,7.5,306
74.125,7.5,315
74.375,7.5,280
74.625,7.5,264
74.875,7.5,275
75.125,7.5,317
75.375,7.5,303
75.625,7.5,314
75.875,7.5,280
76.125,7.5,265
76.375,7.5,275
76.625,7.5,318
76.875,7.5,301
77.125,7.5,311
77.375,7.5,283
77.625,7.5,266
77.875,7.5,277
78.125,7.5,312
78.375,7.5,296
78.625,7.5,305
78.875,7.5,282
79.125,7.5,266
79.375,7.5,276
79.875,7.5,307
80.375,7.5,292
81.125,7.5,301
81.375,7.5,281
81.625,7.5,267
82.125,7.5,275
82.375,7.5,297
82.625,7.5,286
82.875,7.5,294
83.125,7.5,279
83.375,7.5,267
83.625,7.5,274
83.875,7.5,291
84.125,7.5,282
84.375,7.5,288
84.625,7.5,276
84.875,7.5,265
85.125,7.5,272
85.375,7.5,293
85.625,7.5,273
85.875,7.5,277
86.125,7.5,267
86.375,7.5,260
86.625,7.5,267
86.875,7.5,295
87.125,7.5,269
87.375,7.5,274
87.625,7.5,264
87.875,7.5,258
88.125,7.5,265
88.375,7.5,300
88.625,7.5,264
79.75,7.625,270
80.625,7.625,260
80.75,7.625,255
68.875,7.75,263
69.125,7.75,297
69.375,7.75,259
69.625,7.75,267
69.875,7.75,256
70.125,7.75,250
70.375,7.75,258
70.625,7.75,292
70.875,7.75,257
71.125,7.75,265
71.375,7.75,254
71.625,7.75,247
71.875,7.75,256
72.125,7.75,286
72.375,7.75,254
72.625,7.75,262
72.875,7.75,252
73.125,7.75,244
73.375,7.75,252
73.625,7.75,278
73.875,7.75,252
74.125,7.75,259
74.375,7.75,250
74.625,7.75,242
74.875,7.75,250
75.125,7.75,262
75.375,7.75,250
75.625,7.75,256
75.875,7.75,248
76.125,7.75,240
76.375,7.75,250
76.625,7.75,248
76.875,7.75,247
77.125,7.75,253
77.375,7.75,247
77.625,7.75,238
77.875,7.75,247
78.125,7.75,238
78.375,7.75,245
78.625,7.75,251
78.875,7.75,246
79.125,7.75,236
79.375,7.75,246
79.875,7.75,228
80.125,7.75,242
80.375,7.75,248
80.625,7.75,243
80.875,7.75,233
81.125,7.75,245
81.375,7.75,219
81.625,7.75,239
81.875,7.75,243
82.125,7.75,242
82.375,7.75,231
82.625,7.75,243
82.875,7.75,212
83.125,7.75,236
83.375,7.75,240
83.625,7.75,240
83.875,7.75,228
84.125,7.75,240
84.375,7.75,205
84.625,7.75,232
84.875,7.75,234
85.125,7.75,236
85.375,7.75,225
85.625,7.75,238
85.875,7.75,202
86.125,7.75,230
86.375,7.75,231
86.625,7.75,234
86.875,7.75,223
87.125,7.75,237
87.375,7.75,199
87.625,7.75,229
87.875,7.75,228
88.125,7.75,232
88.375,7.75,222
88.625,7.75,236
81.5,7.875,193
68.875,8.0,226
69.125,8.0,224
69.375,8.0,229
69.625,8.0,218
69.875,8.0,235
70.125,8.0,192
70.375,8.0,225
70.625,8.0,219
70.875,8.0,226
71.125,8.0,216
71.375,8.0,235
71.625,8.0,188
71.875,8.0,222
72.125,8.0,214
72.375,8.0,223
72.625,8.0,212
72.875,8.0,233
73.125,8.0,187
73.375,8.0,221
73.625,8.0,210
73.875,8.0,219
74.125,8.0,210
74.375,8.0,232
74.625,8.0,188
74.875,8.0,220
75.125,8.0,205
75.375,8.0,215
75.625,8.0,209
75.875,8.0,232
76.125,8.0,182
76.375,8.0,216
76.625,8.0,198
76.875,8.0,209
77.125,8.0,204
77.875,8.0,229
78.125,8.0,181
78.375,8.0,215
78.625,8.0,194
78.875,8.0,205
79.125,8.0,203
79.375,8.0,229
79.625,8.0,179
79.875,8.0,213
80.125,8.0,189
80.375,8.0,199
80.625,8.0,199
80.875,8.0,228
81.125,8.0,180
81.375,8.0,212
81.875,8.0,184
82.125,8.0,192
82.375,8.0,200
82.625,8.0,229
82.875,8.0,178
83.125,8.0,210
83.375,8.0,177
83.625,8.0,185
83.875,8.0,197
84.125,8.0,229
84.375,8.0,178
84.625,8.0,208
84.875,8.0,174
85.125,8.0,181
85.375,8.0,195
85.625,8.0,230
85.875,8.0,179
86.125,8.0,207
86.375,8.0,169
86.625,8.0,175
86.875,8.0,195
87.125,8.0,231
87.375,8.0,176
87.625,8.0,202
87.875,8.0,164
88.125,8.0,166
88.375,8.0,191
88.625,8.0,229
77.5,8.125,173
81.375,8.125,195
68.875,8.25,160
69.125,8.25,162
69.375,8.25,186
69.625,8.25,227
69.875,8.25,24
70.125,8.25,342
70.375,8.25,341
70.625,8.25,326
70.875,8.25,316
71.125,8.25,309
71.375,8.25,20
71.625,8.25,341
71.875,8.25,339
72.125,8.25,326
72.375,8.25,317
72.625,8.25,308
72.875,8.25,14
73.125,8.25,340
73.375,8.25,337
73.625,8.25,324
73.875,8.25,315
74.125,8.25,307
74.375,8.25,11
74.625,8.25,339
74.875,8.25,334
75.125,8.25,322
75.375,8.25,315
75.625,8.25,305
75.875,8.25,8
76.125,8.25,339
76.375,8.25,333
76.625,8.25,321
77.375,8.25,315
77.625,8.25,304
78.375,8.25,5
78.625,8.25,337
78.875,8.25,331
79.125,8.25,319
79.375,8.25,315
79.75,8.25,303
79.875,8.25,1
80.125,8.25,338
80.375,8.25,329
80.625,8.25,318
80.875,8.25,315
81.125,8.25,303
81.625,8.25,357
81.875,8.25,338
82.125,8.25,328
82.375,8.25,316
82.625,8.25,316
82.875,8.25,303
83.125,8.25,352
83.375,8.25,333
83.625,8.25,326
83.875,8.25,313
84.125,8.25,314
84.375,8.25,302
84.625,8.25,351
84.875,8.25,331
85.125,8.25,324
85.375,8.25,311
85.625,8.25,315
85.875,8.25,300
86.125,8.25,349
86.375,8.25,328
86.625,8.25,322
86.875,8.25,309
87.125,8.25,314
87.375,8.25,298
87.625,8.25,347
87.875,8.25,325
88.125,8.25,321
88.375,8.25,307
88.625,8.25,314
77.0,8.375,297
78.0,8.375,344
79.875,8.375,323
81.25,8.375,320
68.875,8.5,305
69.125,8.5,316
69.375,8.5,296
69.625,8.5,343
69.875,8.5,323
70.125,8.5,320
70.375,8.5,304
70.625,8.5,314
70.875,8.5,296
71.125,8.5,343
71.375,8.5,323
71.625,8.5,320
71.875,8.5,303
72.125,8.5,311
72.375,8.5,296
72.625,8.5,345
72.875,8.5,325
73.125,8.5,320
73.375,8.5,301
73.625,8.5,309
73.875,8.5,296
74.125,8.5,343
74.375,8.5,326
74.625,8.5,320
74.875,8.5,300
75.125,8.5,307
75.375,8.5,296
75.625,8.5,340
75.875,8.5,325
76.125,8.5,319
76.375,8.5,298
76.625,8.5,305
76.875,8.5,294
77.125,8.5,335
77.625,8.5,327
77.875,8.5,316
78.125,8.5,300
78.375,8.5,304
78.625,8.5,293
78.875,8.5,332
79.125,8.5,327
79.375,8.5,315
79.625,8.5,301
80.125,8.5,303
80.375,8.5,292
80.625,8.5,324
80.875,8.5,322
81.125,8.5,314
81.625,8.5,299
81.875,8.5,300
82.125,8.5,291
82.375,8.5,318
82.625,8.5,320
82.875,8.5,312
83.125,8.5,297
83.375,8.5,299
83.625,8.5,290
83.875,8.5,312
84.125,8.5,318
84.375,8.5,309
84.625,8.5,295
84.875,8.5,297
85.125,8.5,290
85.375,8.5,303
85.625,8.5,315
85.875,8.5,306
86.125,8.5,292
86.375,8.5,295
86.625,8.5,288
86.875,8.5,298
87.125,8.5,315
87.375,8.5,304
87.625,8.5,289
87.875,8.5,293
88.125,8.5,287
88.375,8.5,295
88.625,8.5,315
77.125,8.625,303
77.25,8.625,287
68.875,8.75,291
69.125,8.75,287
69.375,8.75,296
69.625,8.75,314
69.875,8.75,301
70.125,8.75,284
70.375,8.75,290
70.625,8.75,286
70.875,8.75,296
71.125,8.75,314
71.375,8.75,300
71.625,8.75,283
71.875,8.75,289
72.125,8.75,285
72.375,8.75,294
72.625,8.75,314
72.875,8.75,299
73.125,8.75,281
73.375,8.75,288
73.625,8.75,284
73.875,8.75,296
74.125,8.75,314
74.375,8.75,298
74.625,8.75,281
74.875,8.75,287
75.125,8.75,283
75.375,8.75,299
75.625,8.75,314
75.875,8.75,300
76.125,8.75,280
76.375,8.75,284
76.75,8.75,282
76.875,8.75,302
77.375,8.75,315
77.625,8.75,302
77.875,8.75,280
78.125,8.75,282
78.375,8.75,282
78.625,8.75,311
78.875,8.75,316
79.125,8.75,305
79.375,8.75,281
79.625,8.75,280
80.125,8.75,280
80.375,8.75,315
80.625,8.75,316
80.875,8.75,308
81.125,8.75,281
81.375,8.75,277
81.625,8.75,279
81.875,8.75,317
82.125,8.75,317
82.375,8.75,311
82.625,8.75,282
82.875,8.75,275
83.125,8.75,279
83.375,8.75,323
83.625,8.75,319
83.875,8.75,313
84.125,8.75,283
84.375,8.75,274
84.625,8.75,278
84.875,8.75,327
85.125,8.75,318
85.375,8.75,313
85.625,8.75,282
85.875,8.75,272
86.125,8.75,277
86.375,8.75,333
86.625,8.75,318
86.875,8.75,314
87.125,8.75,281
87.375,8.75,271
87.625,8.75,276
87.875,8.75,333
88.125,8.75,317
88.375,8.75,318
88.625,8.75,280
77.25,8.875,269
80.0,8.875,275
81.0,8.875,330
68.875,9.0,316
69.125,9.0,321
69.375,9.0,279
69.625,9.0,267
69.875,9.0,275
70.125,9.0,327
70.375,9.0,315
70.625,9.0,320
70.875,9.0,281
71.125,9.0,266
71.375,9.0,274
71.625,9.0,326
71.875,9.0,313
72.125,9.0,320
72.375,9.0,281
72.625,9.0,266
72.875,9.0,274
73.125,9.0,322
73.375,9.0,311
73.625,9.0,319
73.875,9.0,281
74.125,9.0,265
74.375,9.0,274
74.625,9.0,321
74.875,9.0,309
75.125,9.0,319
75.375,9.0,283
75.625,9.0,265
75.875,9.0,274
76.125,9.0,322
76.375,9.0,307
76.625,9.0,317
76.875,9.0,284
77.375,9.0,266
77.625,9.0,276
77.875,9.0,325
78.125,9.0,307
78.875,9.0,317
79.125,9.0,299
79.375,9.0,277
79.625,9.0,280
80.125,9.0,314
80.375,9.0,298
80.625,9.0,307
80.875,9.0,294
81.375,9.0,276
81.625,9.0,281
81.875,9.0,306
82.125,9.0,293
82.375,9.0,302
82.625,9.0,289
82.875,9.0,274
83.125,9.0,281
83.375,9.0,294
83.625,9.0,282
83.875,9.0,289
84.125,9.0,278
84.375,9.0,267
84.625,9.0,276
84.875,9.0,290
85.125,9.0,274
85.375,9.0,280
85.625,9.0,271
85.875,9.0,262
86.125,9.0,272
86.375,9.0,295
86.625,9.0,270
86.875,9.0,276
87.125,9.0,267
87.375,9.0,258
87.625,9.0,268
87.875,9.0,303
88.125,9.0,264
88.375,9.0,271
88.625,9.0,261
77.125,9.125,252
77.25,9.125,262
78.375,9.125,305
78.5,9.125,261
68.875,9.25,268
69.125,9.25,258
69.375,9.25,251
69.625,9.25,259
69.875,9.25,302
70.125,9.25,257
70.375,9.25,266
70.625,9.25,256
70.875,9.25,246
71.125,9.25,254
71.375,9.25,298
71.625,9.25,256
71.875,9.25,265
72.125,9.25,255
72.375,9.25,244
72.625,9.25,252
72.875,9.25,294
73.125,9.25,254
73.375,9.25,263
73.625,9.25,253
73.875,9.25,243
74.125,9.25,250
74.375,9.25,280
74.625,9.25,249
74.875,9.25,259
75.125,9.25,249
75.375,9.25,238
75.625,9.25,245
75.875,9.25,267
76.125,9.25,247
76.625,9.25,256
76.875,9.25,248
77.625,9.25,237
77.875,9.25,244
78.125,9.25,245
78.375,9.25,244
78.875,9.25,252
79.0,9.25,247
79.375,9.25,235
79.625,9.25,241
79.875,9.25,228
80.375,9.25,241
80.625,9.25,248
80.75,9.25,245
81.125,9.25,234
81.375,9.25,241
81.625,9.25,219
81.875,9.25,239
82.125,9.25,245
82.375,9.25,244
82.625,9.25,232
82.875,9.25,240
83.125,9.25,207
83.375,9.25,236
83.625,9.25,241
83.875,9.25,241
84.125,9.25,229
84.375,9.25,238
84.625,9.25,203
84.875,9.25,234
85.125,9.25,238
85.375,9.25,240
85.625,9.25,227
85.875,9.25,237
86.125,9.25,196
86.375,9.25,230
86.625,9.25,232
86.875,9.25,236
87.125,9.25,223
87.375,9.25,236
87.625,9.25,194
87.875,9.25,228
88.125,9.25,229
88.375,9.25,234
88.625,9.25,221
76.375,9.375,234
77.25,9.375,191
78.625,9.375,226
79.0,9.375,226
80.125,9.375,232
80.625,9.375,219
68.875,9.5,233
69.125,9.5,182
69.375,9.5,222
69.625,9.5,219
69.875,9.5,227
70.125,9.5,213
70.375,9.5,230
70.625,9.5,181
70.875,9.5,221
71.125,9.5,216
71.375,9.5,225
71.625,9.5,211
71.875,9.5,229
72.125,9.5,177
72.375,9.5,218
72.625,9.5,211
72.875,9.5,221
73.125,9.5,207
73.375,9.5,228
