temperature_2m_max,precipitation_probability_max,pressure_msl,longitude,latitude,wind_direction_10m_dominant,temperature_2m_min
29.0,43,1008.2333333333332,72.625,6.25,310,28.3
29.1,8,1008.1333333333332,72.875,6.25,302,28.5
29.1,10,1008.1166666666668,73.125,6.25,284,28.1
28.3,65,1008.1083333333332,73.375,6.25,329,26.4
28.5,50,1008.0791666666668,73.625,6.25,330,27.4
28.5,50,1008.0291666666668,73.875,6.25,304,27.8
28.9,43,1007.9708333333332,74.125,6.25,307,28.2
29.0,8,1007.8875,74.375,6.25,300,28.5
29.2,10,1007.8291666666668,74.625,6.25,283,28.1
28.3,70,1007.7875,74.875,6.25,322,26.2
28.6,55,1007.7166666666668,75.125,6.25,330,27.0
28.6,48,1007.6666666666666,75.375,6.25,304,27.8
28.9,45,1007.5958333333332,75.625,6.25,306,28.1
29.0,18,1007.5375,75.875,6.25,300,28.2
29.4,8,1007.4958333333334,76.125,6.25,282,28.1
28.4,78,1007.4375,76.375,6.25,308,26.0
28.5,60,1007.4041666666668,76.625,6.25,330,26.6
28.7,63,1007.3541666666666,76.875,6.25,305,27.9
29.0,68,1007.3333333333334,77.125,6.25,306,28.1
29.0,25,1007.2958333333332,77.375,6.25,298,28.1
29.5,11,1007.2208333333332,77.625,6.25,281,28.1
28.1,78,1007.1291666666666,77.875,6.25,283,25.6
28.5,60,1007.0625,78.125,6.25,329,27.0
28.8,63,1006.8541666666666,78.375,6.25,305,27.9
29.0,68,1006.7458333333334,78.625,6.25,303,27.9
29.0,25,1006.6291666666666,78.875,6.25,297,28.1
29.5,11,1006.3583333333332,79.125,6.25,280,28.1
27.7,80,1006.175,79.375,6.25,270,25.9
28.6,73,1006.0041666666666,79.625,6.25,329,27.1
28.9,65,1005.3916666666668,80.125,6.25,307,28.0
29.1,78,1004.7166666666668,80.625,6.25,300,27.8
29.0,28,1003.1333333333332,80.875,6.25,296,28.0
29.6,10,1002.875,81.125,6.25,279,28.1
27.1,93,1002.8083333333334,81.375,6.25,258,26.0
28.5,70,1002.7958333333332,81.625,6.25,331,27.1
28.9,70,1002.7875,81.875,6.25,311,27.6
29.0,90,1002.7916666666666,82.125,6.25,297,27.5
29.1,40,1002.7375,82.375,6.25,296,27.9
29.2,13,1002.7375,82.625,6.25,277,28.2
27.1,90,1002.7333333333332,82.875,6.25,255,26.1
28.1,75,1002.6875,83.125,6.25,331,27.2
28.7,73,1002.825,83.375,6.25,315,27.5
29.1,95,1002.8666666666668,83.625,6.25,292,27.4
29.1,48,1002.975,83.875,6.25,297,27.9
